set_,Background,Animals,Asphalt,Cat's eyes,Cracks,Dirt road,Ego,Hard sand,Markings,Obstacles,People,Potholes,Retaining walls,Soft sand,Speed bump,Vehicles,Wet sand,model,train,eval
val,87.7,0.0,51.0,0.0,0.0,44.2,28.5,39.9,23.4,0.0,2.1,0.2,2.2,22.4,1.4,42.2,9.6,deeplab,256,1024
train,89.1,0.0,53.9,0.0,0.0,52.9,27.3,40.2,26.7,1.4,5.1,0.1,7.1,35.0,26.8,35.6,17.5,deeplab,256,1024
val,83.8,0.0,24.3,0.0,0.0,34.1,18.1,26.9,9.2,0.0,2.2,0.0,0.8,14.4,0.0,27.0,4.9,deeplab,256,1536
train,84.5,0.0,27.3,0.0,0.0,41.0,16.8,26.7,10.9,0.3,1.7,0.0,2.0,23.8,0.5,21.8,10.6,deeplab,256,1536
val,80.9,0.0,13.5,0.0,0.0,28.0,12.6,19.9,3.6,0.2,1.3,0.0,0.4,11.5,0.0,17.6,2.8,deeplab,256,2048
train,80.9,0.0,16.3,0.0,0.0,34.8,12.8,20.5,4.5,0.1,1.1,0.0,1.0,19.5,0.0,11.8,7.3,deeplab,256,2048
val,96.9,0.0,83.4,0.0,0.0,77.7,88.3,58.0,44.1,12.3,16.9,37.1,57.9,33.4,0.0,73.0,38.6,deeplab,512,256
train,98.0,0.0,89.2,3.0,0.0,86.4,92.8,91.9,43.2,35.0,53.0,33.9,50.4,71.2,58.7,77.2,69.5,deeplab,512,256
val,97.9,0.0,89.3,9.3,0.0,81.5,93.6,66.4,62.2,12.2,38.9,48.5,55.1,49.2,0.0,85.4,40.7,deeplab,512,512
train,99.4,0.0,94.9,15.6,0.0,96.8,97.7,97.4,62.8,57.5,72.5,74.0,80.3,93.1,70.9,92.1,90.7,deeplab,512,512
val,96.2,0.0,82.4,7.5,0.0,71.6,81.4,66.1,53.2,6.6,29.1,12.1,23.4,31.6,4.5,71.0,25.5,deeplab,512,1024
train,97.3,0.0,86.7,5.0,0.0,84.3,84.0,90.1,57.5,37.9,55.9,10.6,43.2,62.3,67.1,77.0,66.5,deeplab,512,1024
val,91.9,0.0,60.9,2.8,0.0,44.8,56.5,41.8,29.7,9.9,11.9,1.4,9.6,14.7,0.3,52.6,14.2,deeplab,512,1536
train,92.3,0.0,66.5,1.7,0.0,53.9,58.1,52.3,33.4,14.7,24.9,1.2,16.7,27.8,43.8,48.6,39.1,deeplab,512,1536
